frequency_hz,magnitude
0,0.00028432
46.875,0.000213148
93.75,9.4633e-05
140.625,0.00102557
187.5,0.00278052
234.375,0.00593425
281.25,0.0095005
328.125,0.0128645
375,0.0152996
421.875,0.0266971
468.75,0.0362012
515.625,0.0259066
562.5,0.0306895
609.375,0.0235028
656.25,0.031861
703.125,0.00413072
750,0.0394677
796.875,0.0478061
843.75,0.0342239
890.625,0.0254813
937.5,0.0231901
984.375,0.021373
1031.25,0.025432
1078.12,0.0189568
1125,0.00119444
1171.88,0.0160308
1218.75,0.00860013
1265.62,0.0056269
1312.5,0.00619853
1359.38,0.00381014
1406.25,0.00213908
1453.12,0.00619638
1500,0.0180187
1546.88,0.0252328
1593.75,0.0289768
1640.62,0.0194939
1687.5,0.0209781
1734.38,0.0334063
1781.25,0.0389442
1828.12,0.0449702
1875,0.0533137
1921.88,0.0307107
1968.75,0.0205733
2015.62,0.0369588
2062.5,0.0602445
2109.38,0.0815212
2156.25,0.0768129
2203.12,0.0689999
2250,0.0564428
2296.88,0.021244
2343.75,0.0349476
2390.62,0.0432162
2437.5,0.0322349
2484.38,0.0184073
2531.25,0.0141039
2578.12,0.028895
2625,0.0320197
2671.88,0.0257462
2718.75,0.0241865
2765.62,0.00853326
2812.5,0.00560749
2859.38,0.00365908
2906.25,0.00607787
2953.12,0.0169127
3000,0.0345721
3046.88,0.046647
3093.75,0.0597791
3140.62,0.0572348
3187.5,0.0242212
3234.38,0.00551664
3281.25,0.0295301
3328.12,0.0345727
3375,0.0401145
3421.88,0.0407275
3468.75,0.0682787
3515.62,0.0889733
3562.5,0.0594436
3609.38,0.0179426
3656.25,0.0394338
3703.12,0.0256045
3750,0.0321113
3796.88,0.0250834
3843.75,0.018498
3890.62,0.00762011
3937.5,0.0357276
3984.38,0.0434422
4031.25,0.0317099
4078.12,0.0186337
4125,0.0201447
4171.88,0.0308043
4218.75,0.0338704
4265.62,0.0203593
4312.5,0.0374826
4359.38,0.0281306
4406.25,0.0381518
4453.12,0.0229115
4500,0.0279788
4546.88,0.0339429
4593.75,0.0388307
4640.62,0.123014
4687.5,0.138368
4734.38,0.140139
4781.25,0.146451
4828.12,0.128359
4875,0.144666
4921.88,0.158217
4968.75,0.173688
5015.62,0.157602
5062.5,0.129924
5109.38,0.0962606
5156.25,0.0789044
5203.12,0.0426336
5250,0.0923725
5296.88,0.0844773
5343.75,0.0718746
5390.62,0.0831107
5437.5,0.0140209
5484.38,0.0641575
5531.25,0.0883913
5578.12,0.106206
5625,0.0629832
5671.88,0.0453852
5718.75,0.0733367
5765.62,0.0681547
5812.5,0.0609693
5859.38,0.113469
5906.25,0.123317
5953.12,0.107862
6000,0.0957483
6046.88,0.0631924
6093.75,0.0545298
6140.62,0.0358208
6187.5,0.118371
6234.38,0.21295
6281.25,0.0959071
6328.12,0.120782
6375,0.0787431
6421.88,0.0970553
6468.75,0.228873
6515.62,0.237427
6562.5,0.177583
6609.38,0.103861
6656.25,0.349817
6703.12,0.281974
6750,0.425783
6796.88,0.512614
6843.75,0.44766
6890.62,0.307107
6937.5,0.805013
6984.38,0.870777
7031.25,0.73605
7078.12,1.192
7125,1.85312
7171.88,1.35753
7218.75,1.26134
7265.62,2.92706
7312.5,5.33414
7359.38,6.68655
7406.25,4.4957
7453.12,3.05752
7500,1.82221
7546.88,3.8283
7593.75,2.4026
7640.62,2.50114
7687.5,0.948172
7734.38,1.40434
7781.25,1.68596
7828.12,1.92199
7875,1.26222
7921.88,0.513699
7968.75,0.648991
8015.62,0.929241
8062.5,0.389573
8109.38,0.0872484
8156.25,0.453594
8203.12,0.553308
8250,0.216086
8296.88,0.155455
8343.75,0.131112
8390.62,0.0648072
8437.5,0.0103779
8484.38,0.0956566
8531.25,0.187973
8578.12,0.210027
8625,0.151144
8671.88,0.115436
8718.75,0.100541
8765.62,0.11993
8812.5,0.105415
8859.38,0.0449608
8906.25,0.0571613
8953.12,0.0975216
9000,0.0470316
9046.88,0.00647822
9093.75,0.0838082
9140.62,0.097384
9187.5,0.0712707
9234.38,0.0752521
9281.25,0.00679611
9328.12,0.0424042
9375,0.116303
9421.88,0.174492
9468.75,0.206015
9515.62,0.214032
9562.5,0.116436
9609.38,0.0179381
9656.25,0.0307261
9703.12,0.0586632
9750,0.0209496
9796.88,0.0194727
9843.75,0.0341365
9890.62,0.0854843
9937.5,0.087705
9984.38,0.0644718
10031.2,0.0693062
10078.1,0.0779644
10125,0.0732945
10171.9,0.071207
10218.8,0.0936705
10265.6,0.0398565
10312.5,0.0406507
10359.4,0.0473673
10406.2,0.0318891
10453.1,0.0116883
10500,0.00849567
10546.9,0.0208584
10593.8,0.0493812
10640.6,0.0172526
10687.5,0.0406745
10734.4,0.0680753
10781.2,0.0762289
10828.1,0.0420375
10875,0.0235451
10921.9,0.034916
10968.8,0.0631463
11015.6,0.0982534
11062.5,0.0773093
11109.4,0.0766086
11156.2,0.0600316
11203.1,0.0634653
11250,0.0629152
11296.9,0.0545974
11343.8,0.0338471
11390.6,0.0363819
11437.5,0.0428368
11484.4,0.0244971
11531.2,0.0143528
11578.1,0.0581961
11625,0.0640836
11671.9,0.0444059
11718.8,0.0298176
11765.6,0.027462
11812.5,0.076045
11859.4,0.0807142
11906.2,0.0335935
11953.1,0.00588161
12000,0.0352489
12046.9,0.0440031
12093.8,0.0431506
12140.6,0.0296428
12187.5,0.0366228
12234.4,0.0349254
12281.2,0.0251502
12328.1,0.0518
12375,0.0446311
12421.9,0.0518942
12468.8,0.0459605
12515.6,0.00988323
12562.5,0.028603
12609.4,0.0308193
12656.2,0.041843
12703.1,0.0277979
12750,0.00664026
12796.9,0.0292656
12843.8,0.0269715
12890.6,0.0291475
12937.5,0.0399461
12984.4,0.0495993
13031.2,0.0469446
13078.1,0.0481916
13125,0.0694358
13171.9,0.0625653
13218.8,0.0196411
13265.6,0.0196807
13312.5,0.0306129
13359.4,0.0246349
13406.2,0.0332811
13453.1,0.0172553
13500,0.0124742
13546.9,0.00681944
13593.8,0.00967616
13640.6,0.0105304
13687.5,0.0265054
13734.4,0.0367045
13781.2,0.0539804
13828.1,0.0355641
13875,0.0129402
13921.9,0.0165386
13968.8,0.0199874
14015.6,0.013114
14062.5,0.0422301
14109.4,0.0458189
14156.2,0.0272482
14203.1,0.0141676
14250,0.0356744
14296.9,0.0647863
14343.8,0.0386472
14390.6,0.022252
14437.5,0.00668039
14484.4,0.0296232
14531.2,0.0334535
14578.1,0.0269402
14625,0.044484
14671.9,0.0670807
14718.8,0.08543
14765.6,0.0839153
14812.5,0.0603874
14859.4,0.0644668
14906.2,0.0517798
14953.1,0.0424693
15000,0.0651774
15046.9,0.0551389
15093.8,0.026065
15140.6,0.0294458
15187.5,0.0448459
15234.4,0.0504777
15281.2,0.0600958
15328.1,0.0444606
15375,0.0590903
15421.9,0.0803629
15468.8,0.0641636
15515.6,0.057774
15562.5,0.0275082
15609.4,0.0324931
15656.2,0.0677685
15703.1,0.0860118
15750,0.0986498
15796.9,0.0638697
15843.8,0.0398503
15890.6,0.0604975
15937.5,0.0269302
15984.4,0.0187594
16031.2,0.00158115
16078.1,0.00924221
16125,0.00972526
16171.9,0.00457362
16218.8,0.00118741
16265.6,0.000143103
16312.5,0.000392224
16359.4,0.000232202
16406.2,0.000353432
16453.1,0.000159223
16500,0.000159719
16546.9,0.000303298
16593.8,0.00019051
16640.6,0.000101206
16687.5,0.000194583
16734.4,0.000258241
16781.2,0.00012579
16828.1,8.59462e-05
16875,0.000130672
16921.9,5.81096e-05
16968.8,0.000184028
17015.6,0.000174554
17062.5,3.93906e-05
17109.4,9.58137e-05
17156.2,0.0001892
17203.1,0.000119476
17250,6.97361e-05
17296.9,4.74063e-05
17343.8,0.000103263
17390.6,0.000106783
17437.5,0.000135924
17484.4,0.000150578
17531.2,0.000151809
17578.1,7.99369e-05
17625,4.43201e-05
17671.9,5.66872e-05
17718.8,7.85362e-05
17765.6,0.000113476
17812.5,3.31927e-05
17859.4,9.49049e-05
17906.2,8.88792e-05
17953.1,0.000153944
18000,0.00023822
18046.9,0.000163294
18093.8,7.18814e-05
18140.6,0.000101928
18187.5,0.000108735
18234.4,2.39583e-05
18281.2,0.000109787
18328.1,0.000182759
18375,0.00018727
18421.9,0.000195255
18468.8,8.37828e-05
18515.6,9.65069e-05
18562.5,7.32103e-05
18609.4,0.000124501
18656.2,9.08994e-05
18703.1,0.000175487
18750,0.00014034
18796.9,0.000142764
18843.8,0.000368077
18890.6,0.000351385
18937.5,0.000342142
18984.4,0.000247678
19031.2,0.000213733
19078.1,0.000194314
19125,0.000171459
19171.9,0.000134617
19218.8,8.72988e-05
19265.6,4.73583e-05
19312.5,0.000120814
19359.4,8.70828e-05
19406.2,0.00011937
19453.1,0.000168388
19500,5.36327e-05
19546.9,0.000101773
19593.8,3.8801e-05
19640.6,0.000127296
19687.5,5.58678e-05
19734.4,5.74985e-05
19781.2,9.33012e-05
19828.1,0.000140792
19875,0.000179775
19921.9,0.000267907
19968.8,0.000178628
20015.6,0.00015958
20062.5,0.000152992
20109.4,0.000100484
20156.2,6.58549e-05
20203.1,0.000123175
20250,0.000160624
20296.9,9.20021e-05
20343.8,7.94972e-05
20390.6,0.000131557
20437.5,7.63959e-05
20484.4,7.84056e-05
20531.2,9.22285e-05
20578.1,9.46973e-05
20625,3.072e-05
20671.9,9.29914e-05
20718.8,0.000305449
20765.6,0.000366407
20812.5,0.000167009
20859.4,9.51441e-05
20906.2,9.0488e-05
20953.1,6.01025e-05
21000,0.00013132
21046.9,0.000197697
21093.8,0.00016619
21140.6,0.000139492
21187.5,0.000106505
21234.4,0.000180049
21281.2,0.00023006
21328.1,9.45692e-05
21375,2.01687e-05
21421.9,5.50433e-05
21468.8,7.39165e-05
21515.6,0.0002059
21562.5,0.000252106
21609.4,0.00020301
21656.2,0.000221927
21703.1,0.000365582
21750,0.000372539
21796.9,0.000225321
21843.8,0.000200202
21890.6,0.000383818
21937.5,9.12178e-05
21984.4,0.000153472
22031.2,2.99426e-05
22078.1,8.42546e-05
22125,0.000171294
22171.9,0.000152054
22218.8,6.62734e-05
22265.6,5.02154e-05
22312.5,0.000115377
22359.4,0.000227742
22406.2,0.000228129
22453.1,0.00014613
22500,0.000114492
22546.9,0.000174313
22593.8,0.000178336
22640.6,0.000182638
22687.5,0.000147244
22734.4,4.59293e-05
22781.2,0.000172047
22828.1,0.000185368
22875,0.000155276
22921.9,0.000321227
22968.8,7.70882e-05
23015.6,0.000148558
23062.5,7.55696e-05
23109.4,3.61987e-05
23156.2,0.000187412
23203.1,0.00020196
23250,3.79482e-05
23296.9,9.82677e-05
23343.8,0.000208383
23390.6,0.000222398
23437.5,0.000240633
23484.4,0.00024325
23531.2,0.000110586
23578.1,0.000177749
23625,8.28038e-05
23671.9,9.19163e-05
23718.8,5.46338e-05
23765.6,3.95002e-05
23812.5,0.000144289
23859.4,0.000319154
23906.2,0.000217726
23953.1,6.29544e-05
24000,5.12877e-05
